Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,CLEARFIELD,President of the United States,Libertarian,"JORGENSEN, JO",546,402,140,4
2020 Presidential Election,CLINTON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",5502,2706,2703,93
2020 Presidential Election,CLINTON,President of the United States,Republican,"TRUMP, DONALD J.",11902,10169,1507,226
2020 Presidential Election,CLINTON,President of the United States,Libertarian,"JORGENSEN, JO",221,177,42,2
2020 Presidential Election,COLUMBIA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",10532,4945,5489,98
2020 Presidential Election,COLUMBIA,President of the United States,Republican,"TRUMP, DONALD J.",20098,17024,2828,246
2020 Presidential Election,COLUMBIA,President of the United States,Libertarian,"JORGENSEN, JO",541,403,130,8
2020 Presidential Election,CRAWFORD,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",12924,6053,6557,314
2020 Presidential Election,CRAWFORD,President of the United States,Republican,"TRUMP, DONALD J.",28559,24180,3822,557
2020 Presidential Election,CRAWFORD,President of the United States,Libertarian,"JORGENSEN, JO",521,384,129,8
2020 Presidential Election,CUMBERLAND,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",62245,24861,36833,551
2020 Presidential Election,CUMBERLAND,President of the United States,Republican,"TRUMP, DONALD J.",77212,61680,14722,810
2020 Presidential Election,CUMBERLAND,President of the United States,Libertarian,"JORGENSEN, JO",2138,1429,680,29
2020 Presidential Election,DAUPHIN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",78983,35137,42304,1542
2020 Presidential Election,DAUPHIN,President of the United States,Republican,"TRUMP, DONALD J.",66408,53959,11230,1219
2020 Presidential Election,DAUPHIN,President of the United States,Libertarian,"JORGENSEN, JO",1977,1310,623,44
2020 Presidential Election,DELAWARE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",206423,94246,107643,4534
2020 Presidential Election,DELAWARE,President of the United States,Republican,"TRUMP, DONALD J.",118532,96019,20295,2218
2020 Presidential Election,DELAWARE,President of the United States,Libertarian,"JORGENSEN, JO",2976,2048,874,54
2020 Presidential Election,ELK,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4522,2337,2141,44
2020 Presidential Election,ELK,President of the United States,Republican,"TRUMP, DONALD J.",12140,10377,1618,145
2020 Presidential Election,ELK,President of the United States,Libertarian,"JORGENSEN, JO",244,179,63,2
2020 Presidential Election,ERIE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",68286,30647,36741,898
2020 Presidential Election,ERIE,President of the United States,Republican,"TRUMP, DONALD J.",66869,54420,11440,1009
2020 Presidential Election,ERIE,President of the United States,Libertarian,"JORGENSEN, JO",1928,1335,569,24
2020 Presidential Election,FAYETTE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",20444,9337,10538,569
2020 Presidential Election,FAYETTE,President of the United States,Republican,"TRUMP, DONALD J.",41227,34964,5269,994
2020 Presidential Election,FAYETTE,President of the United States,Libertarian,"JORGENSEN, JO",468,328,128,12
2020 Presidential Election,FOREST,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",728,306,420,2
2020 Presidential Election,FOREST,President of the United States,Republican,"TRUMP, DONALD J.",1882,1567,302,13
2020 Presidential Election,FOREST,President of the United States,Libertarian,"JORGENSEN, JO",36,25,9,2
2020 Presidential Election,FRANKLIN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",22422,9483,12710,229
2020 Presidential Election,FRANKLIN,President of the United States,Republican,"TRUMP, DONALD J.",57245,48912,7795,538
2020 Presidential Election,FRANKLIN,President of the United States,Libertarian,"JORGENSEN, JO",1116,813,294,9
2020 Presidential Election,FULTON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",1085,564,511,10
2020 Presidential Election,FULTON,President of the United States,Republican,"TRUMP, DONALD J.",6824,6031,679,114
2020 Presidential Election,FULTON,President of the United States,Libertarian,"JORGENSEN, JO",68,46,21,1
2020 Presidential Election,GREENE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4911,2233,2649,29
2020 Presidential Election,GREENE,President of the United States,Republican,"TRUMP, DONALD J.",12579,10782,1655,142
