Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-17,Centre,16,NA,NA,NA
2020-12-17,Chester,54,NA,NA,NA
2020-12-17,Clarion,3,NA,NA,NA
2020-12-17,Clearfield,1,NA,NA,NA
2020-12-17,Clinton,6,NA,NA,NA
2020-12-17,Columbia,4,NA,NA,NA
2020-12-17,Crawford,43,NA,NA,NA
2020-12-17,Cumberland,7,NA,NA,NA
2020-12-17,Dauphin,8,NA,NA,NA
2020-12-17,Delaware,152,NA,NA,NA
2020-12-17,Elk,1,NA,NA,NA
2020-12-17,Erie,66,NA,NA,NA
2020-12-17,Fayette,76,NA,NA,NA
2020-12-17,Franklin,2,NA,NA,NA
2020-12-17,Greene,2,NA,NA,NA
2020-12-17,Huntingdon,1,NA,NA,NA
2020-12-17,Indiana,6,NA,NA,NA
2020-12-17,Jefferson,1,NA,NA,NA
2020-12-17,Juniata,5,NA,NA,NA
2020-12-17,Lackawanna,70,NA,NA,NA
2020-12-17,Lancaster,14,NA,NA,NA
2020-12-17,Lawrence,1,NA,NA,NA
2020-12-17,Lebanon,5,NA,NA,NA
2020-12-17,Lehigh,30,NA,NA,NA
2020-12-17,Luzerne,87,NA,NA,NA
2020-12-17,Lycoming,22,NA,NA,NA
2020-12-17,McKean,1,NA,NA,NA
2020-12-17,Mercer,2,NA,NA,NA
2020-12-17,Mifflin,15,NA,NA,NA
2020-12-17,Monroe,7,NA,NA,NA
2020-12-17,Montgomery,357,NA,NA,NA
2020-12-17,Montour,14,NA,NA,NA
2020-12-17,Northampton,15,NA,NA,NA
2020-12-17,Northumberland,27,NA,NA,NA
2020-12-17,Perry,3,NA,NA,NA
2020-12-17,Philadelphia,1145,2,NA,NA
2020-12-17,Snyder,15,NA,NA,NA
2020-12-17,Somerset,1,NA,NA,NA
2020-12-17,Susquehanna,1,NA,NA,NA
2020-12-17,Union,49,NA,NA,NA
2020-12-17,Venango,10,NA,NA,NA
2020-12-17,Warren,1,NA,NA,NA
2020-12-17,Washington,112,NA,NA,NA
2020-12-17,Wayne,4,NA,NA,NA
2020-12-17,Westmoreland,61,NA,NA,NA
2020-12-17,Wyoming,2,NA,NA,NA
2020-12-17,York,4,NA,NA,NA
2020-12-18,Adams,51,NA,NA,NA
